key,instantiation-moment,display-start-moment,display-end-moment,picture,slogan,link
banner-01,2017/01/08 22:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-02,2021/12/27 4:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-03,2000/01/02 00:59,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-04,2010/12/30 12:59,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-05,2020/01/21 23:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-06,2020/02/21 18:30,2017/01/08 22:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-07,2020/02/21 18:30,2021/12/27 4:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-08,2020/02/21 18:30,2000/01/02 00:59,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-09,2020/02/21 18:30,2010/12/30 12:59,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-10,2020/02/21 18:30,2020/01/21 23:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-11,2020/02/21 18:30,2020/02/21 18:30,2017/01/08 22:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-12,2020/02/21 18:30,2020/02/21 18:30,2021/12/27 4:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-13,2020/02/21 18:30,2020/02/21 18:30,2000/01/02 00:59,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-14,2020/02/21 18:30,2020/02/21 18:30,2010/12/30 12:59,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-15,2020/02/21 18:30,2020/02/21 18:30,2020/01/21 23:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-16,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://prueba.com,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-17,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://prueba2aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-18,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commonssdfsdfsfsdsdfsfsdfsddssdfs/thumb/5/5b/Grib_skov.jpg/330px-Grib_skopppppv.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-19,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://img.freepik.com/vector-gratis/etiqueta-engomada-arbol-dibujos-animados-blanco_1308-60871.jpg?size=626&ext=jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-20,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://img.freepik.com/vector-gratis/ilustracion-arbol-mango_23-2148836620.jpg?size=626&ext=jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-21,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,Tatakae,https://www.youtube.com/?gl=ES&hl=es
banner-22,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el______________ éxito!",https://www.youtube.com/?gl=ES&hl=es
banner-23,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,""¡Transformando ideas en acciones."",https://www.youtube.com/?gl=ES&hl=es
banner-24,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformandमलाका प्रणालीहरूs. Juntमलाका प्रणालीहरू el éxiमलाका प्रणालीहरू",https://www.youtube.com/?gl=ES&hl=es
banner-25,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transforman太 太 太 太 太 太 acciones. Junδοκιμήδοκιμήδοκιμής.",https://www.youtube.com/?gl=ES&hl=es
banner-26,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://prueba.com
banner-27,2020/02/21 18:30,2020/02/21 18:30,2020/02/21 18:30,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Grib_skov.jpg/330px-Grib_skov.jpg,"¡Transformando ideas en acciones. Juntos hacia el éxito!",https://prueba2aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com
