key,key:project,key:sponsor,code,moment,initial_execution_period,ending_execution_period,amount,type,email,link,isPublished
sponsorship-01,project-01,sponsor-01,A-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-02,project-01,sponsor-01,A-001,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-03,project-01,sponsor-01,A-002,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-04,project-02,sponsor-01,A-003,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-05,project-03,sponsor-01,A-004,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-06,project-01,sponsor-02,A-005,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-07,project-01,sponsor-02,A-006,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-08,project-01,sponsor-01,A-007,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-09,project-01,sponsor-01,B-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-10,project-01,sponsor-01,K-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-11,project-01,sponsor-01,Q-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-12,project-01,sponsor-01,Z-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-13,project-01,sponsor-01,A-499,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-14,project-01,sponsor-01,A-999,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-15,project-01,sponsor-01,Z-999,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-16,project-01,sponsor-01,AK-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-17,project-01,sponsor-01,ZAB-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-18,project-01,sponsor-01,ZZZ-000,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-19,project-01,sponsor-01,A-008,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-20,project-01,sponsor-01,A-009,2000/01/01 00:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-21,project-01,sponsor-01,A-010,2000/01/01 00:01,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-22,project-01,sponsor-01,A-011,2010/01/01 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-23,project-01,sponsor-01,A-012,2022/07/29 23:58,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-24,project-01,sponsor-01,A-013,2022/07/29 23:59,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-25,project-01,sponsor-01,A-014,2019/06/08 13:00,2019/06/08 13:00,2100/01/01 00:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-26,project-01,sponsor-01,A-015,2019/06/08 13:00,2019/06/08 13:01,2100/01/01 00:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-27,project-01,sponsor-01,A-016,2019/06/08 13:00,2050/06/08 13:00,2100/01/01 00:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-28,project-01,sponsor-01,A-017,2019/06/08 13:00,2099/11/30 23:58,2100/01/01 00:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-29,project-01,sponsor-01,A-018,2019/06/08 13:00,2099/11/30 23:59,2100/01/01 00:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-30,project-01,sponsor-01,A-019,2019/06/08 13:00,2022/07/30 14:00,2022/08/30 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-31,project-01,sponsor-01,A-020,2019/06/08 13:00,2022/07/30 14:00,2022/08/30 15:01,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-32,project-01,sponsor-01,A-021,2019/06/08 13:00,2022/07/30 14:00,2060/07/30 15:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-33,project-01,sponsor-01,A-022,2019/06/08 13:00,2022/07/30 14:00,2099/12/31 23:59,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-34,project-01,sponsor-01,A-023,2019/06/08 13:00,2022/07/30 14:00,2100/01/01 00:00,"EUR 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-35,project-01,sponsor-01,A-024,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"USD 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-36,project-01,sponsor-01,A-025,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"GBP 15,000.98",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-37,project-01,sponsor-01,A-026,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 0.01",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-38,project-01,sponsor-01,A-027,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 0.02",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-39,project-01,sponsor-01,A-028,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 500,000.00",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-40,project-01,sponsor-01,A-029,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 999,999.99",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-41,project-01,sponsor-01,A-030,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 1,000,000.00",FINANCIAL,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-42,project-01,sponsor-01,A-031,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",IN_KIND,correo.prueba@gmail.com,https://www.google.com,true
sponsorship-43,project-01,sponsor-01,A-032,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,null,https://www.google.com,true
sponsorship-44,project-01,sponsor-01,A-033,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,c@g.com,https://www.google.com,true
sponsorship-45,project-01,sponsor-01,A-034,2019/06/08 13:00,2022/07/30 14:00,2022/09/05 15:00,"EUR 15,000.98",FINANCIAL,pruebapruebapruebapruebapruebaa@example.com,https://www.google.com,true
