key,creationMoment,details,code,difficultyLevel,updateMoment,link,estimatedTotalTime,draftMode,key:project,key:developer
trainingModule-01,2019/01/15 10:00,Detalles de la tarea A,ABC-123,BASIC,2022/01/29 10:00,https://example.com/taskA,60,false,project-01,developer-01
trainingModule-02,2021/03/05 10:00,Detalles de la tarea B,XYZ-456,INTERMEDIATE,2021/03/10 10:00,https://example.com/taskB,120,true,project-04,developer-02
trainingModule-03,2020/02/10 10:00,Detalles de la tarea C,DEF-789,ADVANCED,2020/02/15 10:00,https://example.com/taskC,180,false,project-04,developer-01
trainingModule-04,2020/02/10 10:20,ლორემ იფსუმ,DEF-729,ADVANCED,2020/02/15 12:00,null,300,false,project-04,developer-01
trainingModule-05,2021/12/12 13:20,щaнgЬ₴оёpvf$añlя,AAA-000,INTERMEDIATE,2021/12/12 13:21,https://exampletextdefault123testdefault.com/task,23,true,project-01,developer-01
trainingModule-06,2022/07/28 23:59,ويل النص العربي اللبناني إلى كلام بأصوات الذكاء الاصطن,BBB-111,INTERMEDIATE,2022/07/29 23:59,null,8,true,project-01,developer-02
trainingModule-07,2022/07/30 00:00,ABCDEFGHIJKLMNÑOPQRSTABCDEFGHIJKLMNÑOPQRSTABCDEFGHIJKLMNÑOPQRSTABCDEFGHIJKLMNÑOPQRST123123123123,CCC-666,ADVANCED,1971/12/12 15:23,https://examplewebpage.net/task,1,true,project-01,developer-01
trainingModule-08,2015/11/11 23:23,色到艾丝伊艾勒艾,ZZZ-999,BASIC,2000/11/11 23:27,https://es.es/,56,true,project-01,developer-02
trainingModule-09,2010/06/18 01:20,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,XSA-463,ADVANCED,2010/06/18 03:20,https://A.com/,153,true,project-01,developer-02
trainingModule-10,2018/01/01 00:01,A,GHA-469,BASIC,2019/04/04 13:29,http://unaURLnaproximadade255cas@amosaprobarquefuncioneestacadenadetasfasfasfasgsagasgasgasgagssaggasgasgagasgagsasgagasgggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggaxww.com,56,true,project-01,developer-02
trainingModule-11,2001/01/01 10:00,Módulo de entrenamiento 11,GSA-143,BASIC,2001/01/29 10:00,https://modulo-once.com,60,true,project-01,developer-01
trainingModule-12,2004/01/01 10:00,Módulo de entrenamiento 12,GSF-343,BASIC,2004/01/29 10:00,https://modulo-DOCE.com,6000,true,project-01,developer-01
trainingModule-13,2010/01/01 10:00,Módulo de entrenamiento 13,XXF-343,ADVANCED,2010/01/29 10:00,https://modulo-trece.com,24400,true,project-01,developer-01
trainingModule-14,1990/01/01 10:00,a,JJK-001,BASIC,1994/01/01 10:00,http://ejemplodeurl.com,242,true,project-04,developer-02
trainingModule-15,1991/01/01 20:00,Lorem ipsum dolor sit amete consectetur adipiscing elite sed do eiusmod tempor incididunt ut labore,JJK-002,ADVANCED,2000/02/02 23:00,http://ejemplodeurl.com/2,4666,true,project-04,developer-02
trainingModule-16,1992/01/01 22:22,Lorem ipsum dolor sit amete consectetur adipiscing elite sed do eiusmod tempor incididunt ut labore*,JJK-003,ADVANCED,1993/02/22 14:40,http://ejemplodeurl.com/3,4432,true,project-01,developer-02
trainingModule-17,1993/01/01 23:59,Detalles del nivel de dificultad 1,JJK-004,BASIC,2005/01/02 21:35,http://ejemplodeurl.com/4,2424,true,project-01,developer-02
trainingModule-18,1994/05/06 13:50,Detalles del nivel de dificultad 2,JJK-005,INTERMEDIATE,2005/01/02 21:35,http://ejemplodeurl.com/5,111,true,project-04,developer-02
trainingModule-19,1995/12/30 16:30,Detalles del nivel de dificultad 3,JJK-006,ADVANCED,2005/01/02 21:35,http://ejemplodeurl.com/6,23,true,project-04,developer-02
